"Industry Sector","Type of Employee","Quarter","Statistic Label","UNIT","VALUE"
"All Industries (NACE 1-4)","All Employees","1995Q3","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","All Employees","1995Q4","Average Weekly Earnings (Euro)","Euro","402.96"
"All Industries (NACE 1-4)","All Employees","1996Q1","Average Weekly Earnings (Euro)","Euro","402.27"
"All Industries (NACE 1-4)","All Employees","1996Q2","Average Weekly Earnings (Euro)","Euro","410.23"
"All Industries (NACE 1-4)","All Employees","1996Q3","Average Weekly Earnings (Euro)","Euro","407.09"
"All Industries (NACE 1-4)","All Employees","1996Q4","Average Weekly Earnings (Euro)","Euro","422.72"
"All Industries (NACE 1-4)","All Employees","1997Q1","Average Weekly Earnings (Euro)","Euro","420"
"All Industries (NACE 1-4)","All Employees","1997Q2","Average Weekly Earnings (Euro)","Euro","424.55"
"All Industries (NACE 1-4)","All Employees","1997Q3","Average Weekly Earnings (Euro)","Euro","426.42"
"All Industries (NACE 1-4)","All Employees","1997Q4","Average Weekly Earnings (Euro)","Euro","437.51"
"All Industries (NACE 1-4)","All Employees","1998Q1","Average Weekly Earnings (Euro)","Euro","441.4"
"All Industries (NACE 1-4)","All Employees","1998Q2","Average Weekly Earnings (Euro)","Euro","448.58"
"All Industries (NACE 1-4)","All Employees","1998Q3","Average Weekly Earnings (Euro)","Euro","445.73"
"All Industries (NACE 1-4)","All Employees","1998Q4","Average Weekly Earnings (Euro)","Euro","455.03"
"All Industries (NACE 1-4)","All Employees","1999Q1","Average Weekly Earnings (Euro)","Euro","459.77"
"All Industries (NACE 1-4)","All Employees","1999Q2","Average Weekly Earnings (Euro)","Euro","474.66"
"All Industries (NACE 1-4)","All Employees","1999Q3","Average Weekly Earnings (Euro)","Euro","475.21"
"All Industries (NACE 1-4)","All Employees","1999Q4","Average Weekly Earnings (Euro)","Euro","490.66"
"All Industries (NACE 1-4)","All Employees","2000Q1","Average Weekly Earnings (Euro)","Euro","497.12"
"All Industries (NACE 1-4)","All Employees","2000Q2","Average Weekly Earnings (Euro)","Euro","510.29"
"All Industries (NACE 1-4)","All Employees","2000Q3","Average Weekly Earnings (Euro)","Euro","513.69"
"All Industries (NACE 1-4)","All Employees","2000Q4","Average Weekly Earnings (Euro)","Euro","526.67"
"All Industries (NACE 1-4)","All Employees","2001Q1","Average Weekly Earnings (Euro)","Euro","534.23"
"All Industries (NACE 1-4)","All Employees","2001Q2","Average Weekly Earnings (Euro)","Euro","553.21"
"All Industries (NACE 1-4)","All Employees","2001Q3","Average Weekly Earnings (Euro)","Euro","569.45"
"All Industries (NACE 1-4)","All Employees","2001Q4","Average Weekly Earnings (Euro)","Euro","577.48"
"All Industries (NACE 1-4)","All Employees","2002Q1","Average Weekly Earnings (Euro)","Euro","571.54"
"All Industries (NACE 1-4)","All Employees","2002Q2","Average Weekly Earnings (Euro)","Euro","583.56"
"All Industries (NACE 1-4)","All Employees","2002Q3","Average Weekly Earnings (Euro)","Euro","591.89"
"All Industries (NACE 1-4)","All Employees","2002Q4","Average Weekly Earnings (Euro)","Euro","611.07"
"All Industries (NACE 1-4)","All Employees","2003Q1","Average Weekly Earnings (Euro)","Euro","612.87"
"All Industries (NACE 1-4)","All Employees","2003Q2","Average Weekly Earnings (Euro)","Euro","627.71"
"All Industries (NACE 1-4)","All Employees","2003Q3","Average Weekly Earnings (Euro)","Euro","627"
"All Industries (NACE 1-4)","All Employees","2003Q4","Average Weekly Earnings (Euro)","Euro","642.4"
"All Industries (NACE 1-4)","All Employees","2004Q1","Average Weekly Earnings (Euro)","Euro","644.68"
"All Industries (NACE 1-4)","All Employees","2004Q2","Average Weekly Earnings (Euro)","Euro","659.72"
"All Industries (NACE 1-4)","All Employees","2004Q3","Average Weekly Earnings (Euro)","Euro","659.8"
"All Industries (NACE 1-4)","All Employees","2004Q4","Average Weekly Earnings (Euro)","Euro","671.37"
"All Industries (NACE 1-4)","All Employees","2005Q1","Average Weekly Earnings (Euro)","Euro","677.61"
