"Statistic Label","Broad Nationality Group","Year of Entry","Year","UNIT","VALUE"
"Employment Activity of Foreign Nationals","All nationalities","All PPSN allocations to foreign nationals aged 15 years and over","2002","Number","76919"
"Employment Activity of Foreign Nationals","All nationalities","All PPSN allocations to foreign nationals aged 15 years and over","2003","Number","70138"
"Employment Activity of Foreign Nationals","All nationalities","All PPSN allocations to foreign nationals aged 15 years and over","2004","Number","114750"
"Employment Activity of Foreign Nationals","All nationalities","All PPSN allocations to foreign nationals aged 15 years and over","2005","Number","168197"
"Employment Activity of Foreign Nationals","All nationalities","All PPSN allocations to foreign nationals aged 15 years and over","2006","Number","200450"
"Employment Activity of Foreign Nationals","All nationalities","All PPSN allocations to foreign nationals aged 15 years and over","2007","Number","186035"
"Employment Activity of Foreign Nationals","All nationalities","All PPSN allocations to foreign nationals aged 15 years and over","2008","Number","125857"
"Employment Activity of Foreign Nationals","All nationalities","All PPSN allocations to foreign nationals aged 15 years and over","2009","Number","62311"
"Employment Activity of Foreign Nationals","All nationalities","All PPSN allocations to foreign nationals aged 15 years and over","2010","Number","58886"
"Employment Activity of Foreign Nationals","All nationalities","All PPSN allocations to foreign nationals aged 15 years and over","2011","Number","57946"
"Employment Activity of Foreign Nationals","All nationalities","All PPSN allocations to foreign nationals aged 15 years and over","2012","Number","63992"
"Employment Activity of Foreign Nationals","All nationalities","All PPSN allocations to foreign nationals aged 15 years and over","2013","Number","75720"
"Employment Activity of Foreign Nationals","All nationalities","All PPSN allocations to foreign nationals aged 15 years and over","2014","Number","85668"
"Employment Activity of Foreign Nationals","All nationalities","All PPSN allocations to foreign nationals aged 15 years and over","2015","Number","82744"
"Employment Activity of Foreign Nationals","All nationalities","All PPSN allocations to foreign nationals aged 15 years and over","2016","Number","94955"
"Employment Activity of Foreign Nationals","All nationalities","All PPSN allocations to foreign nationals aged 15 years and over","2017","Number","102824"
"Employment Activity of Foreign Nationals","All nationalities","All PPSN allocations to foreign nationals aged 15 years and over","2018","Number","109303"
"Employment Activity of Foreign Nationals","All nationalities","Persons with no employment activity to date","2002","Number","44834"
"Employment Activity of Foreign Nationals","All nationalities","Persons with no employment activity to date","2003","Number","37244"
"Employment Activity of Foreign Nationals","All nationalities","Persons with no employment activity to date","2004","Number","36552"
"Employment Activity of Foreign Nationals","All nationalities","Persons with no employment activity to date","2005","Number","35133"
"Employment Activity of Foreign Nationals","All nationalities","Persons with no employment activity to date","2006","Number","46964"
"Employment Activity of Foreign Nationals","All nationalities","Persons with no employment activity to date","2007","Number","52294"
"Employment Activity of Foreign Nationals","All nationalities","Persons with no employment activity to date","2008","Number","48078"
"Employment Activity of Foreign Nationals","All nationalities","Persons with no employment activity to date","2009","Number","30371"
"Employment Activity of Foreign Nationals","All nationalities","Persons with no employment activity to date","2010","Number","27802"
"Employment Activity of Foreign Nationals","All nationalities","Persons with no employment activity to date","2011","Number","26364"
"Employment Activity of Foreign Nationals","All nationalities","Persons with no employment activity to date","2012","Number","27976"
"Employment Activity of Foreign Nationals","All nationalities","Persons with no employment activity to date","2013","Number","32988"
"Employment Activity of Foreign Nationals","All nationalities","Persons with no employment activity to date","2014","Number","35634"
"Employment Activity of Foreign Nationals","All nationalities","Persons with no employment activity to date","2015","Number","29375"
"Employment Activity of Foreign Nationals","All nationalities","Persons with no employment activity to date","2016","Number","30458"
"Employment Activity of Foreign Nationals","All nationalities","Persons with no employment activity to date","2017","Number","34097"
"Employment Activity of Foreign Nationals","All nationalities","Persons with no employment activity to date","2018","Number","44317"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2002","2002","Number","48480"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2002","2003","Number","1960"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2002","2004","Number","177"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2002","2005","Number","64"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2002","2006","Number","32"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2002","2007","Number","15"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2002","2008","Number","15"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2002","2009","Number","9"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2002","2010","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2002","2011","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2002","2012","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2002","2013","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2002","2014","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2002","2015","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2002","2016","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2002","2017","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2002","2018","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2003","2002","Number","42792"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2003","2003","Number","45941"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2003","2004","Number","1527"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2003","2005","Number","104"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2003","2006","Number","34"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2003","2007","Number","14"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2003","2008","Number","13"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2003","2009","Number","10"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2003","2010","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2003","2011","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2003","2012","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2003","2013","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2003","2014","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2003","2015","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2003","2016","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2003","2017","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2003","2018","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2004","2002","Number","32598"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2004","2003","Number","39172"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2004","2004","Number","80007"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2004","2005","Number","1533"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2004","2006","Number","61"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2004","2007","Number","16"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2004","2008","Number","14"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2004","2009","Number","9"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2004","2010","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2004","2011","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2004","2012","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2004","2013","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2004","2014","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2004","2015","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2004","2016","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2004","2017","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2004","2018","Number",""
