"Statistic Label","Broad Nationality Group","Sex","Industry Sector NACE Rev 2","Year","UNIT","VALUE"
"Foreign Nationals in Employment","All nationalities","Both sexes","Agriculture, forestry and fishing (A)","2005","Number","5116"
"Foreign Nationals in Employment","All nationalities","Both sexes","Agriculture, forestry and fishing (A)","2006","Number","6032"
"Foreign Nationals in Employment","All nationalities","Both sexes","Agriculture, forestry and fishing (A)","2007","Number","6705"
"Foreign Nationals in Employment","All nationalities","Both sexes","Agriculture, forestry and fishing (A)","2008","Number","6863"
"Foreign Nationals in Employment","All nationalities","Both sexes","Agriculture, forestry and fishing (A)","2009","Number","6154"
"Foreign Nationals in Employment","All nationalities","Both sexes","Agriculture, forestry and fishing (A)","2010","Number","5727"
"Foreign Nationals in Employment","All nationalities","Both sexes","Agriculture, forestry and fishing (A)","2011","Number","5779"
"Foreign Nationals in Employment","All nationalities","Both sexes","Agriculture, forestry and fishing (A)","2012","Number","5926"
"Foreign Nationals in Employment","All nationalities","Both sexes","Agriculture, forestry and fishing (A)","2013","Number","6185"
"Foreign Nationals in Employment","All nationalities","Both sexes","Agriculture, forestry and fishing (A)","2014","Number","6449"
"Foreign Nationals in Employment","All nationalities","Both sexes","Agriculture, forestry and fishing (A)","2015","Number","6708"
"Foreign Nationals in Employment","All nationalities","Both sexes","Agriculture, forestry and fishing (A)","2016","Number","7278"
"Foreign Nationals in Employment","All nationalities","Both sexes","Agriculture, forestry and fishing (A)","2017","Number","7239"
"Foreign Nationals in Employment","All nationalities","Both sexes","Agriculture, forestry and fishing (A)","2018","Number","7613"
"Foreign Nationals in Employment","All nationalities","Both sexes","Mining and quarrying (B)","2005","Number","525"
"Foreign Nationals in Employment","All nationalities","Both sexes","Mining and quarrying (B)","2006","Number","806"
"Foreign Nationals in Employment","All nationalities","Both sexes","Mining and quarrying (B)","2007","Number","977"
"Foreign Nationals in Employment","All nationalities","Both sexes","Mining and quarrying (B)","2008","Number","976"
"Foreign Nationals in Employment","All nationalities","Both sexes","Mining and quarrying (B)","2009","Number","694"
"Foreign Nationals in Employment","All nationalities","Both sexes","Mining and quarrying (B)","2010","Number","519"
"Foreign Nationals in Employment","All nationalities","Both sexes","Mining and quarrying (B)","2011","Number","430"
"Foreign Nationals in Employment","All nationalities","Both sexes","Mining and quarrying (B)","2012","Number","401"
"Foreign Nationals in Employment","All nationalities","Both sexes","Mining and quarrying (B)","2013","Number","383"
"Foreign Nationals in Employment","All nationalities","Both sexes","Mining and quarrying (B)","2014","Number","361"
"Foreign Nationals in Employment","All nationalities","Both sexes","Mining and quarrying (B)","2015","Number","292"
"Foreign Nationals in Employment","All nationalities","Both sexes","Mining and quarrying (B)","2016","Number","326"
"Foreign Nationals in Employment","All nationalities","Both sexes","Mining and quarrying (B)","2017","Number","362"
"Foreign Nationals in Employment","All nationalities","Both sexes","Mining and quarrying (B)","2018","Number","395"
"Foreign Nationals in Employment","All nationalities","Both sexes","Manufacturing (C)","2005","Number","29542"
"Foreign Nationals in Employment","All nationalities","Both sexes","Manufacturing (C)","2006","Number","41286"
"Foreign Nationals in Employment","All nationalities","Both sexes","Manufacturing (C)","2007","Number","52621"
"Foreign Nationals in Employment","All nationalities","Both sexes","Manufacturing (C)","2008","Number","51033"
"Foreign Nationals in Employment","All nationalities","Both sexes","Manufacturing (C)","2009","Number","39253"
"Foreign Nationals in Employment","All nationalities","Both sexes","Manufacturing (C)","2010","Number","34834"
"Foreign Nationals in Employment","All nationalities","Both sexes","Manufacturing (C)","2011","Number","34985"
"Foreign Nationals in Employment","All nationalities","Both sexes","Manufacturing (C)","2012","Number","33055"
"Foreign Nationals in Employment","All nationalities","Both sexes","Manufacturing (C)","2013","Number","34907"
"Foreign Nationals in Employment","All nationalities","Both sexes","Manufacturing (C)","2014","Number","36729"
"Foreign Nationals in Employment","All nationalities","Both sexes","Manufacturing (C)","2015","Number","39253"
"Foreign Nationals in Employment","All nationalities","Both sexes","Manufacturing (C)","2016","Number","45560"
"Foreign Nationals in Employment","All nationalities","Both sexes","Manufacturing (C)","2017","Number","46683"
"Foreign Nationals in Employment","All nationalities","Both sexes","Manufacturing (C)","2018","Number","53533"
"Foreign Nationals in Employment","All nationalities","Both sexes","Electricity, gas, steam and air conditioning supply (D)","2005","Number","102"
